"ایدی","کد پلاک","استان","شهرستان","حروف اختصاصی"
"1","10","تهران","تهران","ب ج د س ص ط ق ل م ن و هـ ی"
"2","11","تهران","تهران","ب ج د س ص ط ق ل م ن و هـ ی"
"3","12","خراسان رضوی","مشهد","ب ج د س ص ط ق ل م ن و هـ ی"
"4","13","اصفهان","اصفهان","ب ج د س ص ط ق ل م ن و هـ ی"
"5","14","خوزستان","اهواز","ب ج د س ص ط ق ل م ن و هـ ی"
"6","15","آذربایجان شرقی","تبریز","ب ج د س ص ط ق ل م ن و هـ ی"
"7","16","قم","قم","ب ج د س ص ط ق ل م ن و هـ ی"
"8","17","آذربایجان غربی","ارومیه","ب ج د س ص ط ق ل م ن و هـ ی"
"9","18","همدان","همدان","ب ج د س ص ط ق ل م ن و هـ ی"
"10","19","کرمانشاه","کرمانشاه","ب ج د س ص ط ق ل م ن و هـ ی"
"11","20","تهران","تهران","ب ج د س ص ط ق ل م ن و هـ ی"
"12","21","تهران و البرز","اسلامشهر","ب"
"13","21","تهران و البرز","رباط‌کریم","ج"
"14","21","تهران و البرز","شهریار","د"
"15","21","تهران و البرز","ورامین","س"
"16","21","تهران و البرز","کرج","و"
"17","22","تهران","تهران","ب ج د س ص ط ق ل م ن و هـ ی"
"18","23","اصفهان","کاشان","ب"
"19","23","اصفهان","نجف‌آباد","ج"
"20","23","اصفهان","شهرضا","د"
"21","23","اصفهان","خمینی‌شهر","س"
"22","24","خوزستان","آبادان","ب"
"23","24","خوزستان","خرمشهر","ج"
"24","24","خوزستان","دزفول","د"
"25","24","خوزستان","بهبهان","س"
"26","24","خوزستان","مسجدسلیمان","ص"
"27","24","خوزستان","ماهشهر","ط"
"28","24","خوزستان","دشت آزادگان","ق"
"29","24","خوزستان","رامهرمز","ل"
"30","24","خوزستان","اندیمشک","م"
"31","24","خوزستان","شوشتر","ن"
"32","24","خوزستان","شادگان","هـ"
"33","24","خوزستان","شوش","و"
"34","24","خوزستان","ایذه","ی"
"35","25","آذربایجان شرقی","مراغه","ب"
"36","25","آذربایجان شرقی","مرند","ج"
"37","25","آذربایجان شرقی","میانه","د"
"38","25","آذربایجان شرقی","اهر","س"
"39","25","آذربایجان شرقی","سراب","ص"
"40","25","آذربایجان شرقی","جلفا","ط"
"41","25","آذربایجان شرقی","هشترود","ق"
"42","25","آذربایجان شرقی","بناب","ل"
"43","25","آذربایجان شرقی","بستان‌آباد","م"
"44","25","آذربایجان شرقی","شبستر","ن"
"45","25","آذربایجان شرقی","کلیبر","و"
"46","25","آذربایجان شرقی","هریس","هـ"
"47","25","آذربایجان شرقی","آذرشهر","ی"
"48","26","خراسان شمالی","بجنورد","ب ج د س"
"49","26","خراسان شمالی","شیروان","ص"
"50","26","خراسان شمالی","اسفراین","ط"
"51","26","خراسان شمالی","جاجرم","ق"
"52","26","خراسان شمالی","مانه و سملقان","ل"
"53","26","خراسان شمالی","فاروج","م"
"54","27","آذربایجان غربی","خوی","ب"
"55","27","آذربایجان غربی","مهاباد","ج"
"56","27","آذربایجان غربی","ماکو","د"
"57","27","آذربایجان غربی","سلماس","س"
"58","27","آذربایجان غربی","نقده","ص"
"59","27","آذربایجان غربی","میاندوآب","ط"
"60","27","آذربایجان غربی","تکاب","ق"
"61","27","آذربایجان غربی","شاهیندژ","ل"
"62","27","آذربایجان غربی","سردشت","م"
"63","27","آذربایجان غربی","بوکان","ن"
"64","27","آذربایجان غربی","پیرانشهر","و"
"65","27","آذربایجان غربی","چالدران","هـ"
"66","27","آذربایجان غربی","اشنویه","ی"
"67","28","همدان","نهاوند","ب"
"68","28","همدان","ملایر","ج"
"69","28","همدان","تویسرکان","د"
"70","28","همدان","کبودرآهنگ","س"
"71","28","همدان","رزن","ص"
"72","28","همدان","بهار","ط"
"73","28","همدان","اسدآباد","ق"
"74","29","کرمانشاه","اسلام‌آباد غرب","ب"
"75","29","کرمانشاه","گیلان غرب","ج"
"76","29","کرمانشاه","سرپل ذهاب","د"
"77","29","کرمانشاه","پاوه","س"
"78","29","کرمانشاه","کنگاور","ص"
"79","29","کرمانشاه","قصر شیرین","ط"
"80","29","کرمانشاه","سنقر","ق"
"81","29","کرمانشاه","جوانرود","ل"
"82","29","کرمانشاه","صحنه","م"
"83","29","کرمانشاه","هرسین","ن"
"84","29","کرمانشاه","ثلاث باباجانی","و"
"85","30","تهران و البرز","شهریار","ب"
"86","30","تهران و البرز","رباط‌کریم","ج"
"87","30","تهران و البرز","کرج","د س"
"88","30","تهران و البرز","اسلامشهر","ص"
"89","30","تهران و البرز","ورامین","ط"
"90","30","تهران و البرز","شهریار","ق"
"91","30","تهران و البرز","کرج","ل م"
"92","30","تهران و البرز","شهریار","ن"
"93","30","تهران و البرز","رباط‌کریم","و"
"94","30","تهران و البرز","دماوند","هـ"
"95","31","لرستان","خرم‌آباد","ب ج د س ص ط"
